Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;ShoFK;ShoPK;PKatt;PasTotCmp;PasTotAtt;PasTotCmp%;PasTotDist;PasTotPrgDist;PasShoCmp;PasShoAtt;PasShoCmp%;PasMedCmp;PasMedAtt;PasMedCmp%;PasLonCmp;PasLonAtt;PasLonCmp%;Assists;PasAss;Pas3rd;PPA;CrsPA;PasProg;PasAtt;PasLive;PasDead;PasFK;TB;PasPress;Sw;PasCrs;CK;CkIn;CkOut;CkStr;PasGround;PasLow;PasHigh;PaswLeft;PaswRight;PaswHead;TI;PaswOther;PasCmp;PasOff;PasOut;PasInt;PasBlocks;SCA;ScaPassLive;ScaPassDead;ScaDrib;ScaSh;ScaFld;ScaDef;GCA;GcaPassLive;GcaPassDead;GcaDrib;GcaSh;GcaFld;GcaDef;Tkl;TklWon;TklDef3rd;TklMid3rd;TklAtt3rd;TklDri;TklDriAtt;TklDri%;TklDriPast;Press;PresSucc;Press%;PresDef3rd;PresMid3rd;PresAtt3rd;Blocks;BlkSh;BlkShSv;BlkPass;Int;Tkl+Int;Clr;Err;Touches;TouDefPen;TouDef3rd;TouMid3rd;TouAtt3rd;TouAttPen;TouLive;DriSucc;DriAtt;DriSucc%;DriPast;DriMegs;Carries;CarTotDist;CarPrgDist;CarProg;Car3rd;CPA;CarMis;CarDis;RecTarg;Rec;Rec%;RecProg;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;PKwon;PKcon;OG;Recov;AerWon;AerLost;AerWon%
1;Max Aarons;ENG;DF;Norwich City;Premier League;22;2000;34;32;2881;32;0;0.41;0.06;15.kwi;0;0;20.maj;0;0;0;34;45;75.5;574.1;214.8;17.maj;19.kwi;90;13.sty;17;77;03.cze;cze.78;45.2;0.06;0.59;sty.56;sty.13;0.25;lut.94;45;34.4;10.cze;0.84;0.06;maj.41;0.59;sty.41;0;0;0;0;26.maj;wrz.59;sie.94;kwi.91;29;0.91;wrz.72;0.06;34;0.22;0.88;sty.63;sty.75;sty.19;0.84;0.06;0.09;0.13;0.06;0;0.16;0.16;0;0;0;0;0;lut.16;sty.16;sty.56;0.59;0;sty.16;sty.81;63.8;0.66;13.cze;mar.53;26;lip.97;kwi.38;sty.22;lut.69;0.69;0.03;2;sty.75;mar.91;lut.19;0;58;05.cze;23.mar;23.sie;15;0.91;47.8;01.mar;lut.44;42.3;01.wrz;0.19;33.9;199.4;121.7;maj.44;sty.66;0.41;0.84;0.94;36;32.4;89.9;sty.28;0.25;0;0;0.97;sty.84;0.03;sty.41;sty.16;0;0.06;0.03;maj.53;0.47;sty.59;22.lip
2;Yunis Abdelhamid;MAR;DF;Reims;Ligue 1;34;1987;34;34;2983;33.1;0.06;0.54;0.18;33.3;0.11;0.33;18.lip;0;0;0;38.7;47;82.4;835.8;287.9;10.lut;11.kwi;89.9;22.kwi;25;89.4;maj.65;wrz.15;61.7;0;0.24;lut.45;0.18;0;lut.72;47;44;03.lut;lut.45;0;maj.68;sty.66;0.06;0;0;0;0;35.3;mar.78;lip.95;31.lip;12.sty;sty.48;0.42;0.12;38.7;0.15;0.97;sty.24;0.88;0.63;0.42;0;0.09;0.03;0;0.09;0.03;0;0;0.03;0;0;0;sty.87;sty.39;sty.24;0.6;0.03;0.39;0.82;48.1;0.42;13.cze;kwi.89;35.9;lip.61;maj.14;0.88;sty.87;0.79;0.06;01.wrz;03.lis;kwi.98;03.lut;0;57.3;sie.28;32.8;25.lip;02.wrz;0.85;54.5;0.48;0.66;72.7;0.48;0.03;35.7;204.7;115.5;lut.75;0.73;0;0.45;0.39;37.5;36.3;96.9;0.36;0.15;0.03;0;01.mar;0.73;0;0.06;sty.39;0;0.03;0;cze.77;02.lut;sty.36;59.8
3;Salis Abdul Samed;GHA;MF;Clermont Foot;Ligue 1;22;2000;31;29;2462;27.kwi;0.04;0.66;0.18;27.sie;0.06;0.2;20.mar;0;0;0;55.9;61;91.7;1033.3;184.4;22.maj;24.sty;93.5;25.sie;27.lut;94.9;cze.72;lip.81;86;0;0.55;lut.81;0.47;0.04;lut.96;61;60.3;0.73;0.58;0.04;08.mar;0.8;0.36;0;0;0;0;52.6;kwi.71;mar.72;kwi.82;53.1;01.wrz;0.15;0.29;55.9;0.07;0.58;sty.24;0.84;sty.46;01.wrz;0;0;0.15;0.15;0.07;0.04;0.04;0;0;0;0;0;02.sty;sty.24;0.91;0.91;0.18;0.69;lut.15;32.2;sty.46;23.kwi;cze.53;27.wrz;lip.19;12.mar;mar.94;0.99;0.04;0;0.95;sty.86;mar.87;0.55;0;70.4;02.sty;22.lip;41.8;10.wrz;0.62;69.9;0.99;sty.53;64.3;01.wrz;0.07;53.5;246.5;106.3;lut.85;0.73;0.15;0.84;sty.46;58.6;54.2;92.5;sty.72;0.44;0.11;0.07;sty.64;sty.28;0;0.36;sty.24;0;0;0;sie.76;0.88;0.88;50
4;Laurent Abergel;FRA;MF;Lorient;Ligue 1;29;1993;34;34;2956;32.8;0;0.91;0.21;23.mar;0;0;22.cze;0;0;0;40.7;49.8;81.6;780.8;206;16.mar;18.kwi;88.6;17.mar;19.cze;87.9;cze.25;wrz.39;66.6;0.06;0.91;mar.87;0.58;0.18;kwi.18;49.8;49;0.85;0.64;0.18;wrz.48;sty.49;0.79;0.03;0;0;0;37.6;maj.64;cze.65;kwi.48;43.9;0.73;0.15;0.15;40.7;0.21;0.55;sty.83;sty.68;02.sty;sty.49;0.06;0.03;0.03;0.21;0.18;0.15;0.12;0;0;0;0.03;0;mar.57;lut.23;sty.49;sty.71;0.37;01.sie;kwi.97;36.2;mar.17;28;07.wrz;28.lut;wrz.27;15.mar;mar.41;sty.68;0.09;0;sty.59;lut.56;cze.13;0.34;0;61.6;0.67;13.lip;40.3;11.cze;0.46;60.9;sty.28;sty.98;64.6;sty.34;0.09;45.7;171.9;86.4;lut.87;sty.13;0.09;0.85;sty.46;46.3;43;93;sty.86;0.27;0;0;01.kwi;02.lip;0.03;0.79;lut.23;0;0;0;sie.87;0.43;0.43;50
5;Charles Abi;FRA;FW;Saint-Étienne;Ligue 1;22;2000;1;1;45;0.5;0;0;0;0;0;0;0;0;0;0;4;12;33.3;48;0;2;4;50;2;6;33.3;0;0;0;0;0;0;0;0;0;12;12;0;0;0;6;0;2;0;0;0;0;10;0;2;12;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;28;2;07.sty;0;22;6;2;0;0;2;0;0;0;0;24;0;0;10;18;6;24;0;0;0;0;0;18;118;18;0;2;0;8;0;24;16;66.7;4;0;0;0;2;0;0;2;0;0;0;0;4;2;0;100
6;Dickson Abiama;NGA;FW;Greuther Fürth;Bundesliga;23;1998;24;5;726;08.sty;0;lut.22;0.49;22.lut;0;0;15.cze;0;0;0;11.sty;17.lut;64.7;160;40.7;cze.67;wrz.63;69.2;03.wrz;kwi.69;65.8;0.62;sty.23;50;0.12;0.99;0.86;0.74;0;01.cze;17.lut;16;01.lis;0.12;0.12;maj.19;0.25;0.25;0;0;0;0;10.lip;mar.95;lut.47;mar.33;wrz.38;lut.35;0;0.37;11.sty;0.25;0.62;0.62;01.lis;lut.47;sty.48;0;0;0.12;0.25;0.62;0.25;0.12;0;0;0.12;0;0;sty.73;0.86;0.37;0.86;0.49;0.25;sty.36;18.lut;01.lis;23.maj;kwi.81;20.maj;lut.59;10;10.wrz;sty.23;0.37;0;0.86;0.99;lut.72;0.86;0;33;01.lis;mar.46;15.cze;15.cze;mar.83;31.9;0.74;lut.22;33.3;0.86;0.12;19;74.7;40.2;lut.59;0.99;0.86;05.cze;sty.36;41.4;21.sty;51;maj.93;0.37;0;0;lut.22;sty.48;sty.85;0.25;0.86;0;0;0;kwi.81;lut.72;kwi.94;35.5
7;Matthis Abline;FRA;FW;Rennes;Ligue 1;19;2003;7;1;103;01.sty;0;sty.82;0;0;0;0;08.cze;0;0;0;lip.27;09.wrz;80;90.9;20;mar.64;maj.45;66.7;mar.64;mar.64;100;0;0;0;0;0.91;0.91;0.91;0;0.91;09.wrz;09.wrz;0;0;0;mar.64;0;0.91;0;0;0;0;sie.18;0.91;0;lut.73;cze.36;0;0;0;lip.27;0;0;0.91;0;0.91;0.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.91;0;0.91;23.cze;mar.64;15.kwi;mar.64;12.lip;lip.27;sty.82;0;0;sty.82;0.91;0.91;0.91;0;22.lip;sty.82;sty.82;10;10.wrz;lut.73;22.lip;0.91;sty.82;50;0.91;0;16.kwi;61.8;31.sie;lut.73;0;0;sty.82;kwi.55;35.5;11.sie;33.3;lip.27;0;0;0;sty.82;0.91;0;0.91;0;0;0;0;cze.36;0;sty.82;0
8;Tammy Abraham;ENG;FW;Roma;Serie A;24;1997;37;36;3084;34.3;0.5;lut.71;0.93;34.4;0.15;0.44;12.lut;0.06;0.09;0.09;14.cze;20.lut;72;224.9;51.2;sie.69;11.kwi;76.2;04.maj;maj.86;69.2;sty.28;01.cze;80;0.12;01.lut;01.sie;0.82;0.12;sty.78;20.lut;18.mar;sty.98;0.17;0.15;maj.92;0.32;0.7;0;0;0;0;12.sie;kwi.37;03.mar;sty.84;14.sty;sty.92;0.03;0.7;14.cze;0;0.29;01.lut;0.7;lut.33;sty.63;0.03;0.03;0.38;0.17;0.09;0.35;0.15;0;0.03;0.09;0.09;0;0.99;0.64;0.29;0.44;0.26;0.29;0.67;43.5;0.38;13.cze;04.lut;29.cze;sty.34;maj.71;cze.56;0.96;0.32;0;0.64;0.44;sty.43;0.9;0;32.4;0.96;lut.54;16.mar;15.lut;maj.86;30.kwi;01.sie;lut.22;48.7;sty.14;0.09;18;76.8;39.4;lut.45;0.82;0.67;lut.39;sty.28;41.2;22.kwi;54.3;cze.71;0.26;0;0;sty.25;sty.46;0.5;0.7;0.64;0.03;0.03;0;mar.67;lut.39;lut.89;45.3
9;Luis Abram;PER;DF;Granada;La Liga;26;1996;8;6;560;06.lut;0;0.32;0;0;0;0;7;0;0;0;31.mar;35.5;88.2;696.8;186;cze.77;lip.42;91.3;18.maj;20;92.7;maj.81;lip.74;75;0;0;sty.29;0;0;sty.45;35.5;34;sty.45;0.81;0;sty.61;sty.13;0;0;0;0;0;28.lut;lut.42;kwi.84;29.2;mar.55;sty.77;0.32;0.16;31.mar;0.16;0.16;0.32;0.16;0.48;0.16;0;0;0.32;0;0;0.16;0;0;0;0.16;0;0;sty.13;0.97;0.81;0.16;0.16;0.48;0.65;75;0.16;maj.65;02.sty;37.1;lut.26;mar.23;0.16;02.sty;0.81;0.32;sty.29;sty.77;02.wrz;cze.29;0.16;46.8;10.lut;30;18.lut;sty.13;0.81;45.5;0;0;0;0;0;25.lut;129.5;77.1;sty.13;0;0;0.32;0;30.2;29.kwi;97.3;0.16;0.32;0;0;0.81;0.81;0;0;0.97;0;0;0.16;04.mar;sty.94;lut.42;44.4
10;Francesco Acerbi;ITA;DF;Lazio;Serie A;34;1988;30;29;2536;28.lut;0.14;0.57;0.25;43.8;0.25;0.57;09.lut;0;0;0;64.3;71.1;90.3;1345.5;409.9;20.sty;21.cze;93.1;33.3;35.3;94.4;wrz.93;12.wrz;77.1;0;0.21;kwi.33;0.21;0;03.gru;71.1;68.6;lut.52;02.lut;0.07;maj.96;lut.66;0.04;0;0;0;0;52.8;05.cze;12.lip;54.1;12.lut;lut.77;0.04;0.28;64.3;0.04;0.78;0.85;0.43;0.64;0.5;0.04;0;0.04;0.07;0;0.07;0.04;0;0;0;0.04;0;0.96;0.43;0.64;0.32;0;0.32;0.71;45;0.39;maj.85;01.lip;29.sty;03.maj;lut.41;0.39;01.lip;01.cze;0;0.64;01.lip;lut.66;04.sie;0.04;80.2;12.mar;42;41.4;02.mar;0.78;77.9;0.11;0.14;75;0.11;0;52.4;284.8;161.6;mar.48;0.71;0;0.28;0.11;58.8;57.8;98.3;0.35;0.07;0.04;0;0.71;0.67;0.14;0.04;0.43;0.04;0;0;10.lip;lut.84;01.cze;64
